exp_id,model_id,model_path,test_type,input_file,output_file,sr,in_peak,in_rms,out_peak,out_rms,notes
E02_pretrained_rave_nature_prior,birds_motherbird_b2048_r48000_z16,/home/shruti/rave-biophilic-sound-engine/experiments/E02_pretrained_rave_nature_prior/models/iil_ts/birds_motherbird_b2048_r48000_z16.ts,C_office_through_model,/home/shruti/rave-biophilic-sound-engine/data/test/input/office_ambient_talking_2.wav,/home/shruti/rave-biophilic-sound-engine/data/test/transformed/birds_motherbird_b2048_r48000_z16/office_ambient_talking_2__birds_motherbird_b2048_r48000_z16.wav,48000,1.000000,0.052027,1.079456,0.047777,call=m(x)
E02_pretrained_rave_nature_prior,birds_motherbird_b2048_r48000_z16,/home/shruti/rave-biophilic-sound-engine/experiments/E02_pretrained_rave_nature_prior/models/iil_ts/birds_motherbird_b2048_r48000_z16.ts,C_office_through_model,/home/shruti/rave-biophilic-sound-engine/data/test/input/office_keyboard.wav,/home/shruti/rave-biophilic-sound-engine/data/test/transformed/birds_motherbird_b2048_r48000_z16/office_keyboard__birds_motherbird_b2048_r48000_z16.wav,48000,1.000000,0.038327,0.888940,0.034253,call=m(x)
E02_pretrained_rave_nature_prior,birds_motherbird_b2048_r48000_z16,/home/shruti/rave-biophilic-sound-engine/experiments/E02_pretrained_rave_nature_prior/models/iil_ts/birds_motherbird_b2048_r48000_z16.ts,C_office_through_model,/home/shruti/rave-biophilic-sound-engine/data/test/input/office_quiet.wav,/home/shruti/rave-biophilic-sound-engine/data/test/transformed/birds_motherbird_b2048_r48000_z16/office_quiet__birds_motherbird_b2048_r48000_z16.wav,48000,0.053925,0.008896,0.067180,0.009650,call=m(x)
E02_pretrained_rave_nature_prior,birds_motherbird_b2048_r48000_z16,/home/shruti/rave-biophilic-sound-engine/experiments/E02_pretrained_rave_nature_prior/models/iil_ts/birds_motherbird_b2048_r48000_z16.ts,C_office_through_model,/home/shruti/rave-biophilic-sound-engine/data/test/input/office_quiet_clicking.wav,/home/shruti/rave-biophilic-sound-engine/data/test/transformed/birds_motherbird_b2048_r48000_z16/office_quiet_clicking__birds_motherbird_b2048_r48000_z16.wav,48000,0.191559,0.016070,0.186288,0.017209,call=m(x)
E02_pretrained_rave_nature_prior,birds_motherbird_b2048_r48000_z16,/home/shruti/rave-biophilic-sound-engine/experiments/E02_pretrained_rave_nature_prior/models/iil_ts/birds_motherbird_b2048_r48000_z16.ts,C_office_through_model,/home/shruti/rave-biophilic-sound-engine/data/test/input/office_talking.wav,/home/shruti/rave-biophilic-sound-engine/data/test/transformed/birds_motherbird_b2048_r48000_z16/office_talking__birds_motherbird_b2048_r48000_z16.wav,48000,0.979034,0.047580,1.025399,0.039205,call=m(x)
E02_pretrained_rave_nature_prior,birds_pluma_b2048_r48000_z12,/home/shruti/rave-biophilic-sound-engine/experiments/E02_pretrained_rave_nature_prior/models/iil_ts/birds_pluma_b2048_r48000_z12.ts,C_office_through_model,/home/shruti/rave-biophilic-sound-engine/data/test/input/office_ambient_talking.wav,/home/shruti/rave-biophilic-sound-engine/data/test/transformed/birds_pluma_b2048_r48000_z12/office_ambient_talking__birds_pluma_b2048_r48000_z12.wav,48000,0.589783,0.024434,0.849691,0.035670,call=m(x)
E02_pretrained_rave_nature_prior,birds_pluma_b2048_r48000_z12,/home/shruti/rave-biophilic-sound-engine/experiments/E02_pretrained_rave_nature_prior/models/iil_ts/birds_pluma_b2048_r48000_z12.ts,C_office_through_model,/home/shruti/rave-biophilic-sound-engine/data/test/input/office_ambient_talking_2.wav,/home/shruti/rave-biophilic-sound-engine/data/test/transformed/birds_pluma_b2048_r48000_z12/office_ambient_talking_2__birds_pluma_b2048_r48000_z12.wav,48000,1.000000,0.052027,1.000000,0.019582,call=m(x)
E02_pretrained_rave_nature_prior,birds_pluma_b2048_r48000_z12,/home/shruti/rave-biophilic-sound-engine/experiments/E02_pretrained_rave_nature_prior/models/iil_ts/birds_pluma_b2048_r48000_z12.ts,C_office_through_model,/home/shruti/rave-biophilic-sound-engine/data/test/input/office_keyboard.wav,/home/shruti/rave-biophilic-sound-engine/data/test/transformed/birds_pluma_b2048_r48000_z12/office_keyboard__birds_pluma_b2048_r48000_z12.wav,48000,1.000000,0.038327,1.272832,0.046645,call=m(x)
E02_pretrained_rave_nature_prior,birds_pluma_b2048_r48000_z12,/home/shruti/rave-biophilic-sound-engine/experiments/E02_pretrained_rave_nature_prior/models/iil_ts/birds_pluma_b2048_r48000_z12.ts,C_office_through_model,/home/shruti/rave-biophilic-sound-engine/data/test/input/office_quiet.wav,/home/shruti/rave-biophilic-sound-engine/data/test/transformed/birds_pluma_b2048_r48000_z12/office_quiet__birds_pluma_b2048_r48000_z12.wav,48000,0.053925,0.008896,0.056470,0.007002,call=m(x)
E02_pretrained_rave_nature_prior,birds_pluma_b2048_r48000_z12,/home/shruti/rave-biophilic-sound-engine/experiments/E02_pretrained_rave_nature_prior/models/iil_ts/birds_pluma_b2048_r48000_z12.ts,C_office_through_model,/home/shruti/rave-biophilic-sound-engine/data/test/input/office_quiet_clicking.wav,/home/shruti/rave-biophilic-sound-engine/data/test/transformed/birds_pluma_b2048_r48000_z12/office_quiet_clicking__birds_pluma_b2048_r48000_z12.wav,48000,0.191559,0.016070,0.266684,0.014357,call=m(x)
E02_pretrained_rave_nature_prior,birds_pluma_b2048_r48000_z12,/home/shruti/rave-biophilic-sound-engine/experiments/E02_pretrained_rave_nature_prior/models/iil_ts/birds_pluma_b2048_r48000_z12.ts,C_office_through_model,/home/shruti/rave-biophilic-sound-engine/data/test/input/office_talking.wav,/home/shruti/rave-biophilic-sound-engine/data/test/transformed/birds_pluma_b2048_r48000_z12/office_talking__birds_pluma_b2048_r48000_z12.wav,48000,0.979034,0.047580,1.000000,0.026062,call=m(x)
