model_id,reference_class,input_file,output_file,distance_input,distance_output,delta_distance,envelope_correlation,artifact_score
birds_motherbird_b2048_r48000_z16,birds,/home/shruti/rave-biophilic-sound-engine/data/test/input_eval/office_ambient_talking_seg003.wav,/home/shruti/rave-biophilic-sound-engine/data/test/transformed_eval/birds_motherbird_b2048_r48000_z16/office_ambient_talking_seg003__birds_motherbird_b2048_r48000_z16.wav,596.6366670472777,553.6287305871601,-43.00793646011755,0.6697383692133236,28.092759655132845
birds_motherbird_b2048_r48000_z16,birds,/home/shruti/rave-biophilic-sound-engine/data/test/input_eval/office_ambient_talking_seg004.wav,/home/shruti/rave-biophilic-sound-engine/data/test/transformed_eval/birds_motherbird_b2048_r48000_z16/office_ambient_talking_seg004__birds_motherbird_b2048_r48000_z16.wav,611.8259453030712,564.3059478275543,-47.5199974755169,0.7456808379674348,34.83274029871794
birds_motherbird_b2048_r48000_z16,birds,/home/shruti/rave-biophilic-sound-engine/data/test/input_eval/office_ambient_talking_seg005.wav,/home/shruti/rave-biophilic-sound-engine/data/test/transformed_eval/birds_motherbird_b2048_r48000_z16/office_ambient_talking_seg005__birds_motherbird_b2048_r48000_z16.wav,444.40559306736685,444.80538484888893,0.39979178152208306,0.7278255986537927,51.83142092781483
birds_motherbird_b2048_r48000_z16,birds,/home/shruti/rave-biophilic-sound-engine/data/test/input_eval/office_keyboard_seg000.wav,/home/shruti/rave-biophilic-sound-engine/data/test/transformed_eval/birds_motherbird_b2048_r48000_z16/office_keyboard_seg000__birds_motherbird_b2048_r48000_z16.wav,411.64964285919154,409.06737949070543,-2.5822633684861103,0.6586212956360122,48.79497657544026
birds_motherbird_b2048_r48000_z16,birds,/home/shruti/rave-biophilic-sound-engine/data/test/input_eval/office_keyboard_seg001.wav,/home/shruti/rave-biophilic-sound-engine/data/test/transformed_eval/birds_motherbird_b2048_r48000_z16/office_keyboard_seg001__birds_motherbird_b2048_r48000_z16.wav,502.26475610456356,502.9196699632049,0.6549138586413505,0.4546649572454641,68.74500192522711
birds_motherbird_b2048_r48000_z16,birds,/home/shruti/rave-biophilic-sound-engine/data/test/input_eval/office_keyboard_seg002.wav,/home/shruti/rave-biophilic-sound-engine/data/test/transformed_eval/birds_motherbird_b2048_r48000_z16/office_keyboard_seg002__birds_motherbird_b2048_r48000_z16.wav,522.446831064367,569.8449470908229,47.39811602645591,0.18133159079721647,54.989493043463995
birds_motherbird_b2048_r48000_z16,birds,/home/shruti/rave-biophilic-sound-engine/data/test/input_eval/office_keyboard_seg003.wav,/home/shruti/rave-biophilic-sound-engine/data/test/transformed_eval/birds_motherbird_b2048_r48000_z16/office_keyboard_seg003__birds_motherbird_b2048_r48000_z16.wav,568.3849469655722,547.296067872361,-21.088879093211176,0.5222817877700587,38.39828934424381
birds_motherbird_b2048_r48000_z16,birds,/home/shruti/rave-biophilic-sound-engine/data/test/input_eval/office_keyboard_seg004.wav,/home/shruti/rave-biophilic-sound-engine/data/test/transformed_eval/birds_motherbird_b2048_r48000_z16/office_keyboard_seg004__birds_motherbird_b2048_r48000_z16.wav,487.0700283458994,469.10851440798626,-17.96151393791314,0.4313342983357056,50.31971866638432
birds_motherbird_b2048_r48000_z16,birds,/home/shruti/rave-biophilic-sound-engine/data/test/input_eval/office_keyboard_seg005.wav,/home/shruti/rave-biophilic-sound-engine/data/test/transformed_eval/birds_motherbird_b2048_r48000_z16/office_keyboard_seg005__birds_motherbird_b2048_r48000_z16.wav,660.7129447096979,609.8160178990884,-50.89692681060956,0.10169515015098157,15.345272483306845
birds_motherbird_b2048_r48000_z16,birds,/home/shruti/rave-biophilic-sound-engine/data/test/input_eval/office_quiet_clicking_seg000.wav,/home/shruti/rave-biophilic-sound-engine/data/test/transformed_eval/birds_motherbird_b2048_r48000_z16/office_quiet_clicking_seg000__birds_motherbird_b2048_r48000_z16.wav,649.5343130500166,594.1173442801563,-55.41696876986032,0.38877521672577325,19.867299525057746
